"","over_60","partnered","living_alone","Home_owner","young_child","Numb_dep","Have_dep","Main_carer_dep","PPeligible","IWSSUCP8","SIHPSWT"
"349",0,1,0,1,NA,0,0,0,0,0,723.1892088122
"350",0,1,0,1,NA,0,0,0,0,0,723.1892088122
"351",0,1,0,1,9,2,1,1,0,2135,357.989544769165
"352",0,1,0,1,9,2,1,1,0,0,357.989544769165
"353",1,0,1,1,NA,0,0,0,0,438,214.715390220292
"354",0,1,0,1,NA,0,0,0,0,1830,207.411832218829
"355",0,1,0,1,NA,0,0,0,0,1043,207.411832218829
"356",0,1,0,0,0,1,1,0,0,1065,1415.64326608065
"357",0,1,0,0,0,1,1,1,1,0,1415.64326608065
"358",1,0,1,1,NA,0,0,0,0,0,110.737942201248
"359",1,1,0,1,NA,0,0,0,0,50,1019.51188388174
"360",1,1,0,1,NA,0,0,0,0,0,1019.51188388174
"361",1,0,1,1,NA,0,0,0,0,0,1078.18639623728
"362",0,1,0,0,9,1,1,1,0,1082,766.550586459481
"363",0,1,0,0,9,1,1,1,0,1339,766.550586459481
"364",1,0,1,1,NA,0,0,0,0,0,1163.56794618297
"365",1,0,1,1,NA,0,0,0,0,0,1163.56794618297
"366",0,1,0,1,19,1,1,1,0,1500,1095.43120545362
"367",0,1,0,1,19,1,1,1,0,429,1095.43120545362
"368",0,1,0,0,19,1,1,1,0,635,1095.43120545362
"369",0,0,1,0,NA,0,0,0,0,537,1095.43120545362
"370",0,1,0,1,2,2,1,1,1,1560,935.05624320209
"371",0,1,0,1,2,2,1,1,1,637,935.05624320209
"372",0,0,1,0,NA,0,0,0,0,0,79.735670490599
"373",0,1,0,1,0,3,1,1,1,2211,400.226346646583
"374",0,1,0,1,0,3,1,1,1,1166,400.226346646583
"375",0,1,0,1,NA,0,0,0,0,1217,646.36554009453
"376",0,1,0,1,NA,0,0,0,0,854,646.36554009453
"377",0,0,1,0,NA,0,0,0,0,749,646.36554009453
"378",1,1,0,1,17,1,1,1,0,76,18.5782608695652
"379",1,1,0,1,17,1,1,1,0,0,18.5782608695652
"380",0,1,0,0,17,1,1,1,0,156,18.5782608695652
